Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Vaezghasemi, M., Öhman, A., Ng, N., Hakimi, M., Eriksson, M.","57195195568; 7006445503; 12801085700; 7006646779; 35086100000","Concerned and Conscious, but DefenselessThe intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study: The intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study",2020,"Global Health Action",13,"1", 1744214,,,,,10.1080/16549716.2020.1744214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084328499&partnerID=40&md5=a671c0350fd25750033374cac8c31c08",Article,Final,Open Access,Scopus,2-s2.0-85084328499
"Fan, F.-Y., Wu, C.-J., Cho, Y.-C., Sugiatno, E., Chou, H.-H., Ou, K.-L., Lu, Y.-J., Huang, B.-H., Ruslin, M., Huang, M.-S.","57218123373; 57110971700; 57205142112; 14009496800; 7202063666; 55660541800; 57205327902; 57215034458; 56491046400; 35744890800","A promising biomimetic surface enhances cell proliferation and adhesion ability for promoting early-stage osseointegration",2020,"Journal of Alloys and Compounds",844,"", 155905,,,,,10.1016/j.jallcom.2020.155905,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087957148&partnerID=40&md5=c1b056e63fd63ba0c161f1477c7f7788",Article,Final,,Scopus,2-s2.0-85087957148
"Diana, R., Ardhani, R., Kristanti, Y., Santosa, P.","57219854667; 57189623248; 57219852856; 57218388063","Dental pulp stem cells response on the nanotopography of scaffold to regenerate dentin-pulp complex tissue",2020,"Regenerative Therapy",15,"",,243,250,,,10.1016/j.reth.2020.09.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095747213&partnerID=40&md5=2e6abcb28f4b3e6686745fb049ef106e",Review,Final,Open Access,Scopus,2-s2.0-85095747213
"Prima, H., Sofii, I., Fauzi, A.R., Dachlan, I., Gunadi","57219657912; 57218865838; 57203133889; 57210391374; 24337866800","The impact of different suturing techniques for abdominal fascia closure on the Interleukin-6 expressions in Rattus norvegicus",2020,"BMC Research Notes",13,"1", 502,,,,,10.1186/s13104-020-05349-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094904897&partnerID=40&md5=ae51f55b67b6411a5c9b1678016e052f",Article,Final,Open Access,Scopus,2-s2.0-85094904897
"Widad, S., Nurdiati, D.S., Ayuandari, S., Hamurajib, K.C., Rahmana, M.D.R., Alma, N.A., Dewanto, A.","57219671426; 6602273936; 56231262400; 57218604217; 57219667867; 57218603952; 57190580042","Primordial follicle survival of goat ovarian tissue after vitrification and transplantation on chorioallanthoic membrane",2020,"Middle East Fertility Society Journal",25,"1", 34,,,,,10.1186/s43043-020-00044-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094672831&partnerID=40&md5=d9c7b705a34a36535f3be2cc2a1a2e41",Article,Final,Open Access,Scopus,2-s2.0-85094672831
"Sofii, I., Dipoyono, W., Prima, H., Sari, Y.M., Fauzi, A.R., Gunadi","57218865838; 57219660211; 57219657912; 57219650399; 57203133889; 24337866800","The effect of different suturing materials for abdominal fascia wound closure on the collagen I/III expression ratio in rats",2020,"Annals of Medicine and Surgery",60,"",,106,109,,,10.1016/j.amsu.2020.10.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094560477&partnerID=40&md5=6c4f8b20340c445ae51deea1ee464fc6",Article,Final,Open Access,Scopus,2-s2.0-85094560477
"Subronto, Y.W., Kusmayanti, N.A., Abdalla, A.S., Sattwika, P.D.","6506502796; 57204189553; 57219537365; 56491237800","Nevirapine and tuberculosis predict first-line treatment failure in HIV patients in Indonesia: Case-control study",2020,"Annals of Medicine and Surgery",60,"",,56,60,,,10.1016/j.amsu.2020.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093650611&partnerID=40&md5=88cca3313b10820c5929867be4974c0c",Article,Final,Open Access,Scopus,2-s2.0-85093650611
"Helmi, Fakhrudin, N., Nurrochmad, A., Sudarmanto, A., Ikawati, Z.","57219172914; 36007191300; 9243439100; 57219323568; 7801693557","Caesalpinia sappan L. Wood is a potential source of natural phosphodiesterase-1 inhibitors",2020,"Pharmacognosy Journal",12,"6",,1206,1217,,,10.5530/PJ.2020.12.169,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092233312&partnerID=40&md5=3481f5c5c1699148e2a9a8e32e680d4f",Article,Final,Open Access,Scopus,2-s2.0-85092233312
"Kamil, R.Z., Yanti, R., Murdiati, A., Juffrie, M., Rahayu, E.S.","57208054197; 57190938696; 57188932900; 6603321832; 6507167383","Microencapsulation of indigenous probiotic lactobacillus plantarum dad-13 by spray and freeze-drying: Strain-dependent effect and its antibacterial property",2020,"Food Research",4,"6",,2181,2189,,,10.26656/fr.2017.4(6).280,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092074313&partnerID=40&md5=ae9d177f4dd292a28086ca4223b98c2f",Article,Final,Open Access,Scopus,2-s2.0-85092074313
"Sari, R., Larasati, G.S., Kuncorowati, N.G., Syaify, A.","57219253855; 57219258493; 57219258439; 57196003946","Platelet-rich fibrin (PRF) membranes accelerate open wound healing better than amniotic membranes: A histological study on the proliferation phase",2020,"Wound Medicine",31,"", 100190,,,,,10.1016/j.wndm.2020.100190,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091934212&partnerID=40&md5=0463167d6b7c9e757b3d9ca7416e49a3",Article,Final,,Scopus,2-s2.0-85091934212
