Authors,Author(s) ID,Title,Faculty,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Vaezghasemi M., Öhman A., Ng N., Hakimi M., Eriksson M.",57195195568;7006445503;12801085700;7006646779;35086100000;,"Concerned and Conscious, but DefenselessThe intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study: The intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study",Kedokteran,2020,Global Health Action,13,1,1744214,,,,,10.1080/16549716.2020.1744214,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084328499&doi=10.1080%2f16549716.2020.1744214&partnerID=40&md5=86c3fc4da9f30544b1bf934f23780678,"Department of Epidemiology and Global Health, Umeå University, Umeå, Sweden; Umeå Centre for Gender Studies, Umeå University, Umeå, Sweden; Centre for Demographic and Ageing Research, Umeå University, Umeå, Sweden; Centre for Health and Nutrition Research Laboratory, Faculty of Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Department of Health Behaviour, Environment and Social Medicine, Faculty of Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Department of Social Work, Umeå University, Umeå, Sweden","Vaezghasemi, M., Department of Epidemiology and Global Health, Umeå University, Umeå, Sweden; Öhman, A., Umeå Centre for Gender Studies, Umeå University, Umeå, Sweden; Ng, N., Department of Epidemiology and Global Health, Umeå University, Umeå, Sweden, Centre for Demographic and Ageing Research, Umeå University, Umeå, Sweden; Hakimi, M., Centre for Health and Nutrition Research Laboratory, Faculty of Medicine, Gadjah Mada University, Yogyakarta, Indonesia, Department of Health Behaviour, Environment and Social Medicine, Faculty of Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Eriksson, M., Department of Social Work, Umeå University, Umeå, Sweden",Article,Final,Open Access,Scopus,2-s2.0-85084328499
"Fan F.-Y., Wu C.-J., Cho Y.-C., Sugiatno E., Chou H.-H., Ou K.-L., Lu Y.-J., Huang B.-H., Ruslin M., Huang M.-S.",57218123373;57110971700;57205142112;14009496800;7202063666;55660541800;57205327902;57215034458;56491046400;35744890800;,A promising biomimetic surface enhances cell proliferation and adhesion ability for promoting early-stage osseointegration,Kedokteran Gigi,2020,Journal of Alloys and Compounds,844,,155905,,,,,10.1016/j.jallcom.2020.155905,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087957148&doi=10.1016%2fj.jallcom.2020.155905&partnerID=40&md5=5045ad1855fa0b8319b80921e0c89aa1,"School of Dental Technology, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan; Biomedical Technology R & D Center, China Medical University Hospital, Taichung, 404, Taiwan; School of Dentistry, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan; Department of Prosthodontics, Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Dental Department of Wan-Fang Hospital, Taipei Medical University, Taipei, 116, Taiwan; Department of Dentistry, Taipei Medical University-Shuang Ho Hospital, New Taipei City, 235, Taiwan; Department of Oral Hygiene Care, Ching Kuo Institute of Management and Health, Keelung, 203, Taiwan; Health Sciences University of Hokkaido, Hokkaido, 061-0293, Japan; 3D Global Biotech Inc. (Spin-off Company from Taipei Medical University), New Taipei City, 221, Taiwan; Division of Family and Operative Dentistry, Department of Dentistry, Taipei Medical University Hospital, Taipei, 110, Taiwan; Asia Pacific Laser Institute, New Taipei City, 220, Taiwan; Implant Academy of Minimally Invasive Dentistry, Taipei, 106, Taiwan; Department of Oral and Maxillofacial Surgery, Faculty of Dentistry, Hasanuddin University, Makassar, 90245, Indonesia; School of Oral Hygiene, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan; Graduate Institute of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung, 100, Taiwan; Department of Medical Imaging, Kaohsiung Medical University Hospital, Kaohsiung, 100, Taiwan; Department of Medical Imaging, Kaohsiung Municipal Ta-Tung Hospital, Kaohsiung Medical University, Kaohsiung, 100, Taiwan","Fan, F.-Y., School of Dental Technology, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan, Biomedical Technology R & D Center, China Medical University Hospital, Taichung, 404, Taiwan; Wu, C.-J., Graduate Institute of Medicine, College of Medicine, Kaohsiung Medical University, Kaohsiung, 100, Taiwan, Department of Medical Imaging, Kaohsiung Medical University Hospital, Kaohsiung, 100, Taiwan, Department of Medical Imaging, Kaohsiung Municipal Ta-Tung Hospital, Kaohsiung Medical University, Kaohsiung, 100, Taiwan; Cho, Y.-C., School of Dentistry, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan; Sugiatno, E., Department of Prosthodontics, Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Chou, H.-H., School of Dentistry, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan, Dental Department of Wan-Fang Hospital, Taipei Medical University, Taipei, 116, Taiwan; Ou, K.-L., Department of Dentistry, Taipei Medical University-Shuang Ho Hospital, New Taipei City, 235, Taiwan, Department of Oral Hygiene Care, Ching Kuo Institute of Management and Health, Keelung, 203, Taiwan, Health Sciences University of Hokkaido, Hokkaido, 061-0293, Japan, 3D Global Biotech Inc. (Spin-off Company from Taipei Medical University), New Taipei City, 221, Taiwan; Lu, Y.-J., Division of Family and Operative Dentistry, Department of Dentistry, Taipei Medical University Hospital, Taipei, 110, Taiwan; Huang, B.-H., Biomedical Technology R & D Center, China Medical University Hospital, Taichung, 404, Taiwan, Asia Pacific Laser Institute, New Taipei City, 220, Taiwan, Implant Academy of Minimally Invasive Dentistry, Taipei, 106, Taiwan; Ruslin, M., Department of Oral and Maxillofacial Surgery, Faculty of Dentistry, Hasanuddin University, Makassar, 90245, Indonesia; Huang, M.-S., Department of Dentistry, Taipei Medical University-Shuang Ho Hospital, New Taipei City, 235, Taiwan, School of Oral Hygiene, College of Oral Medicine, Taipei Medical University, Taipei, 110, Taiwan",Article,Final,,Scopus,2-s2.0-85087957148
"Sari R., Larasati G.S., Kuncorowati N.G., Syaify A.",57219253855;57219258493;57219258439;57196003946;,Platelet-rich fibrin (PRF) membranes accelerate open wound healing better than amniotic membranes: A histological study on the proliferation phase,Kedokteran Gigi,2020,Wound Medicine,31,,100190,,,,,10.1016/j.wndm.2020.100190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091934212&doi=10.1016%2fj.wndm.2020.100190&partnerID=40&md5=3149519ee0f372817a33a5e7352fd870,"Department of Periodontics Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Dentistry Study Program Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia","Sari, R., Department of Periodontics Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Larasati, G.S., Dentistry Study Program Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Kuncorowati, N.G., Dentistry Study Program Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Syaify, A., Department of Periodontics Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85091934212
"Noviyanto A., Sartohadi J., Purwanto B.H.",57219092041;24766831900;6507171824;,"The distribution of soil morphological characteristics for landslide-impacted Sumbing Volcano, Central Java - Indonesia",Pertanian,2020,Geoenvironmental Disasters,7,1,25,,,,,10.1186/s40677-020-00158-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091203600&doi=10.1186%2fs40677-020-00158-8&partnerID=40&md5=4900517b63a3ab8b8e5cc27adef11070,"Master Program in Soil Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, Indonesia","Noviyanto, A., Master Program in Soil Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Sartohadi, J., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, Indonesia; Purwanto, B.H., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85091203600
"Hermawan A., Putri H., Ikawati M.",47161155100;55631438500;55189878500;,Bioinformatic analysis reveals the molecular targets of tangeretin in overcoming the resistance of breast cancer to tamoxifen,Farmasi,2020,Gene Reports,21,,100884,,,,,10.1016/j.genrep.2020.100884,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090909694&doi=10.1016%2fj.genrep.2020.100884&partnerID=40&md5=88578b19a8d1697a64787954cd587231,"Laboratory of Macromolecular Engineering, Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara II, Yogyakarta, 55281, Indonesia; Cancer Chemoprevention Research Center, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara II, Yogyakarta, 55281, Indonesia","Hermawan, A., Laboratory of Macromolecular Engineering, Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara II, Yogyakarta, 55281, Indonesia; Putri, H., Cancer Chemoprevention Research Center, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara II, Yogyakarta, 55281, Indonesia; Ikawati, M., Laboratory of Macromolecular Engineering, Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara II, Yogyakarta, 55281, Indonesia",Article,Final,,Scopus,2-s2.0-85090909694
"Satmalawati E.M., Pranoto Y., Marseno D.W., Marsono Y.",57216289182;8906543900;8880635900;6506442611;,Oxidation of cassava starch at different dissolved ozone concentration: Effect on functional and structural properties,Teknologi Pertanian,2020,Food Research,4,6,,1896,1904,,,10.26656/fr.2017.4(6).209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090628376&doi=10.26656%2ffr.2017.4%286%29.209&partnerID=40&md5=2888112117ca66a2ee618b2a8ffecc21,"Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jalan Flora No. 1, Bulaksumur, Yogyakarta, 55281, Indonesia","Satmalawati, E.M., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jalan Flora No. 1, Bulaksumur, Yogyakarta, 55281, Indonesia; Pranoto, Y., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jalan Flora No. 1, Bulaksumur, Yogyakarta, 55281, Indonesia; Marseno, D.W., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jalan Flora No. 1, Bulaksumur, Yogyakarta, 55281, Indonesia; Marsono, Y., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jalan Flora No. 1, Bulaksumur, Yogyakarta, 55281, Indonesia",Article,Final,,Scopus,2-s2.0-85090628376
"Hermawan A., Putri H.",47161155100;55631438500;,Integrative bioinformatics analysis reveals miR-494 and its target genes as predictive biomarkers of trastuzumab-resistant breast cancer,Farmasi,2020,Journal of the Egyptian National Cancer Institute,32,1,16,,,,,10.1186/s43046-020-00028-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084753182&doi=10.1186%2fs43046-020-00028-2&partnerID=40&md5=682da6bd58d63f2f86f3bfd714c86aec,"Laboratory of Macromolecular Engineering, Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada Sekip Utara II, Yogyakarta, 55281, Indonesia; Cancer Chemoprevention Research Center, Faculty of Pharmacy, Universitas Gadjah Mada Sekip Utara II, Yogyakarta, 55281, Indonesia","Hermawan, A., Laboratory of Macromolecular Engineering, Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada Sekip Utara II, Yogyakarta, 55281, Indonesia; Putri, H., Cancer Chemoprevention Research Center, Faculty of Pharmacy, Universitas Gadjah Mada Sekip Utara II, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85084753182
"Sulistiyono A., Kurniasih K., Untari T.",57215089078;57200381352;56514122200;,"Detection of nervous necrosis virus of grouper fish in Lombok island, Indonesia based on serological and molecular studies",Kedokteran Hewan,2020,Egyptian Journal of Aquatic Biology and Fisheries,24,1,,329,335,,,10.21608/EJABF.2020.70593,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079885190&doi=10.21608%2fEJABF.2020.70593&partnerID=40&md5=f04ded495e677fe31a8c16fccf7cd608,"Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Pathology Department, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Microbiology Department, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia","Sulistiyono, A., Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Kurniasih, K., Pathology Department, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia; Untari, T., Microbiology Department, Faculty of Veterinary Medicine, Gadjah Mada University, Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85079885190
"Lestari A.D., Rohman A., Martono S.",57209237300;32668020600;55790945300;,Analytical method validation of reversed phase HPLC for quantitative analysis of tartrazine and auramine o in powder drinks,Farmasi,2020,Food Research,4,6,,2037,2041,,,10.26656/fr.2017.4(6).120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091330798&doi=10.26656%2ffr.2017.4%286%29.120&partnerID=40&md5=6980c7847efffdf6f0ed3b78683d21fa,"Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; The National Agency of Drug and Food Control, District of Denpasar, Bali, 80235, Indonesia; Institute of Halal Industry and systems, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia","Lestari, A.D., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia, The National Agency of Drug and Food Control, District of Denpasar, Bali, 80235, Indonesia; Rohman, A., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia, Institute of Halal Industry and systems, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Martono, S., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85091330798
"Ningrum A., Hapsari M.W., Perdani A.W., Sutrisno E., Pravitri K.G., Ramadhani N.F., Munawaroh H.S.H.",56217468000;57205081488;57218794142;57218791692;57218792254;57218793106;56194965400;,Characteristic of yellow tuna skin (Thunnus albacares) gelatin enriched with cinnamon (cinnamomum zeylanicum) and roselle (hibiscus sabdariffa) powder,Teknologi Pertanian,2020,Food Research,4,6,,2082,2088,,,10.26656/fr.2017.4(6).225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090293900&doi=10.26656%2ffr.2017.4%286%29.225&partnerID=40&md5=b485aa396558a0de1455656a852fb8fb,"Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Department of Chemistry, Faculty of Mathematics and Science, Indonesia University of Education, Bandung, 40522, Indonesia","Ningrum, A., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Hapsari, M.W., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Perdani, A.W., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Sutrisno, E., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Pravitri, K.G., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Ramadhani, N.F., Department of Food Science and Agricultural Product Technology, Faculty of Agricultural Technology, Gadjah Mada University, Yogyakarta, 55281, Indonesia; Munawaroh, H.S.H., Department of Chemistry, Faculty of Mathematics and Science, Indonesia University of Education, Bandung, 40522, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85090293900
