Rank,Sourceid,Title,Type,H index
1,28773,CA - A Cancer Journal for Clinicians,journal,Q1
2,19434,MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control,journal,Q1
3,21100812243,Nature Reviews Materials,journal,Q1
4,29431,Quarterly Journal of Economics,journal,Q1
5,20315,Nature Reviews Molecular Cell Biology,journal,Q1
6,58530,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",book series,Q1
7,18991,Nature Reviews Genetics,journal,Q1
8,18434,Cell,journal,Q1
9,29719,Reviews of Modern Physics,journal,Q1
10,12464,Nature Reviews Cancer,journal,Q1
11,24404,Journal of Political Economy,journal,Q1
12,23340,Chemical Reviews,journal,Q1
13,71056,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,journal,Q1
14,21318,Nature Reviews Immunology,journal,Q1
15,21100778827,Nature Methods,journal,Q1
16,18990,Nature Genetics,journal,Q1
17,21100812579,Nature Energy,journal,Q1
18,20111,"Vital & health statistics. Series 3, Analytical and epidemiological studies / [U.S. Dept. of Health and Human Services, Public Health Service, National Center for Health Statistics]",journal,Q1
19,15847,New England Journal of Medicine,journal,Q1
20,16801,Annual Review of Biochemistry,journal,Q1
21,17500,Journal of Finance,journal,Q1
22,15819,Nature Medicine,journal,Q1
23,12354,The Lancet Oncology,journal,Q1
24,21100826569,Nature Reviews Chemistry,journal,Q1
25,5200152704,Nature Nanotechnology,journal,Q1
26,17854,Nature Materials,journal,Q1
27,17437,Nature Reviews Neuroscience,journal,Q1
28,19482,Econometrica,journal,Q1
29,16590,The Lancet,journal,Q1
30,23350,Chemical Society Reviews,journal,Q1
31,26978,Advances in Physics,journal,Q1
32,24202,Review of Economic Studies,journal,Q1
33,21206,Nature,journal,Q1
34,20651,Annual Review of Immunology,journal,Q1
35,20110,NBER Macroeconomics Annual,book series,Q1
36,22697,American Economic Review,journal,Q1
37,17436,Nature Neuroscience,journal,Q1
38,110561,Proceedings of the IEEE International Conference on Computer Vision,conference and proceedings,-
39,5700165152,Nature Photonics,journal,Q1
40,24212,Proceedings of the IEEE Computer Society Conference on Computer  Vision and Pattern Recognition,conference and proceedings,-
41,20313,Nature Reviews Microbiology,journal,Q1
42,23571,Science,journal,Q1
43,17500155114,Energy and Environmental Sciences,journal,Q1
44,26651,Annual Review of Astronomy and Astrophysics,book series,Q1
45,16161,Review of Financial Studies,journal,Q1
46,19900191906,Academy of Management Annals,journal,Q1
47,16115,Nature Biotechnology,journal,Q1
48,21100780831,Nature Reviews Disease Primers,journal,Q1
49,24379,Journal of Financial Economics,journal,Q1
50,20798,Immunity,journal,Q1
51,29093,Cancer Cell,journal,Q1
52,18395,Annual Review of Cell and Developmental Biology,journal,Q1
53,20246,Journal of Labor Economics,journal,Q1
54,16036,Administrative Science Quarterly,journal,Q1
55,16860,The Lancet Neurology,journal,Q1
56,20191,Academy of Management Journal,journal,Q1
57,21100862548,Nature Catalysis,journal,Q1
58,18606,Molecular Cell,journal,Q1
59,16721,Annual Review of Plant Biology,journal,Q1
60,146172,Cell Metabolism,journal,Q1
61,28677,Living Reviews in Relativity,journal,Q1
62,19900191767,American Economic Journal: Applied Economics,journal,Q1
63,19881,Advanced Materials,journal,Q1
64,120008,Annual Review of Physiology,journal,Q1
65,14181,Annual Review of Neuroscience,journal,Q1
66,12010,Annual Review of Psychology,journal,Q1
67,24004,Physiological Reviews,journal,Q1
68,29949,Journal of Clinical Oncology,journal,Q1
69,22401,Journal of the American College of Cardiology,journal,Q1
70,18100156701,Nature Chemistry,journal,Q1
71,19014,Nature Cell Biology,journal,Q1
72,17700156734,Nature Reviews Clinical Oncology,journal,Q1
73,27165,Journal of Economic Literature,journal,Q1
74,17978,Neuron,journal,Q1
75,21100199127,Advanced Energy Materials,journal,Q1
76,19066,Trends in Cell Biology,journal,Q1
77,40944,Genome Biology,journal,Q1
78,12137,Journal of Statistical Software,journal,Q1
79,28599,Reviews of Geophysics,journal,Q1
80,6100153018,Cell Stem Cell,journal,Q1
81,21100834904,Joule,journal,Q1
82,21100237403,The Lancet Diabetes and Endocrinology,journal,Q1
83,21315,Nature Immunology,journal,Q1
84,22214,Genome Research,journal,Q1
85,6200180159,World Psychiatry,journal,Q1
86,13443,Psychological Bulletin,journal,Q1
87,4000151822,Nature Physics,journal,Q1
88,22471,The Lancet Infectious Diseases,journal,Q1
89,21706,Annual Review of Genetics,journal,Q1
90,14204,Nucleic Acids Research,journal,Q1
91,11700154368,Publications Mathématiques,journal,Q1
92,12394,Nature Structural and Molecular Biology,journal,Q1
93,12817,Personnel Psychology,journal,Q1
94,28980,Journal of Economic Perspectives,journal,Q1
95,21100901949,Nano Futures,journal,Q1
96,22657,Accounts of Chemical Research,journal,Q1
97,19651,Clinical Microbiology Reviews,journal,Q1
98,22951,Journal of Marketing,journal,Q1
99,24668,Journal of the American Mathematical Society,journal,Q1
100,19700188417,Annual Review of Condensed Matter Physics,journal,Q1
101,11300153736,Annual Review of Pathology: Mechanisms of Disease,journal,Q1
102,27538,Progress in Energy and Combustion Science,journal,Q1
103,23157,Strategic Management Journal,journal,Q1
104,19897,European Urology,journal,Q1
105,12216,Molecular Biology and Evolution,journal,Q1
106,17552,Acta Neuropathologica,journal,Q1
107,17899,Progress in Materials Science,journal,Q1
108,29229,Physics Reports,journal,Q1
109,21100832985,ACS Energy Letters,journal,Q1
110,21100265444,The Lancet Global Health,journal,Q1
111,21100860945,Science immunology,journal,Q1
112,21100863710,Annual Review of Organizational Psychology and Organizational Behavior,journal,Q1
113,14816,Trends in Biochemical Sciences,journal,Q1
114,21100773752,Nature Microbiology,journal,Q1
115,22126,Genes and Development,journal,Q1
116,19700200701,Annual Review of Economics,journal,Q1
117,110325,"Annual Review of Ecology, Evolution, and Systematics",book series,Q1
118,7500153126,Journal of the European Economic Association,journal,Q1
119,12812,Personality and Social Psychology Review,journal,Q1
120,24721,Annals of Mathematics,journal,Q1
121,28366,Gut,journal,Q1
122,21272,Journal of Experimental Medicine,journal,Q1
